Episode,Robust Guarantee UMDP,Performance UMDP Robust Policy,Performance UMDP Optimistic Policy,Total Runtime,Model Building Time,Model Checking Time Robust,Model Checking Time Optimistic,Model Checking Time DTMC
2640,10.41911448,10.6,14.30408,1.213970708,0.007585,0.001410959,0.001142583,4.48709E-4
2703,10.41762811,10.6,13.90704375,1.22636275,0.006691375,0.001428166,0.001258292,4.66875E-4
2732,10.41762811,10.6,14.14029938,1.244558625,0.008712375,0.001885458,0.001626458,0.002316792
2759,10.41762811,10.6,13.9563425,1.261710833,0.009473375,0.001930084,0.001124625,3.73542E-4
2793,10.41762811,10.6,14.63842187,1.273834875,0.00726025,0.001588,0.001190417,4.16625E-4
2842,10.41951192,10.6,14.239085,1.28564675,0.007279792,0.001571,0.001235208,3.91083E-4
2902,10.42135189,10.6,15.12663,1.29814975,0.006945417,0.001526083,0.001200292,4.25917E-4
3001,10.42165722,10.6,15.05365125,1.311697541,0.007010875,0.001443459,0.001165958,6.06208E-4
3027,10.41712987,10.6,14.3865,1.323045833,0.007007666,0.001498209,0.001253917,3.985E-4
3129,10.41231422,10.6,14.890575,1.33934275,0.010155667,0.001461542,0.001065958,4.03917E-4
3201,10.45527253,10.6,15.05365125,1.351708958,0.006929375,0.001365916,0.001137041,3.90291E-4
3284,10.45369456,10.6,13.9164375,1.364012166,0.006748291,0.001271625,0.001157791,3.14916E-4
3409,10.45675848,10.6,14.42241,1.376933666,0.007048667,0.001338833,0.001362042,3.90583E-4
3474,10.45541968,10.6,14.327535,1.388865666,0.006804125,0.001468292,0.001141375,3.94459E-4
3492,10.45846751,10.6,14.94152625,1.399197333,0.006869542,0.001230958,0.001008375,3.42417E-4
3876,10.45948101,10.6,14.49790625,1.418883916,0.006745333,0.001344667,0.001022459,3.18333E-4
4004,10.4608024,10.6,14.18342,1.431337625,0.006656042,0.001249667,0.00125325,4.94084E-4
4087,10.46192349,10.6,14.29818539,1.44445325,0.007533834,0.001509333,0.001091292,3.51917E-4
4205,10.46304707,10.6,14.414825,1.457042375,0.007014917,0.001476583,0.0010765,3.51083E-4
4303,10.46418962,10.6,15.17805,1.470594083,0.006966791,0.001598959,0.001233542,5.515E-4
4433,10.46657686,10.6,14.06205375,1.484053875,0.007050417,0.001403083,0.001162833,4.47167E-4
4517,10.46882351,10.6,14.922975,1.496867375,0.00695825,0.001392792,0.0012465,6.40792E-4
4655,10.4669086,10.6,13.9563425,1.510543833,0.006922333,0.001677542,0.001208208,3.99625E-4
4732,10.46280075,10.6,14.8350975,1.529516125,0.013773959,0.001315333,0.001248208,5.07625E-4
4900,10.46083979,10.6,15.26753344,1.544771708,0.006885375,0.001392,0.001092167,3.76041E-4
5033,10.46003019,10.6,14.06535516,1.560362041,0.007500625,0.0016075,0.00104075,3.54541E-4
5184,10.45638114,10.6,13.7957625,1.574100958,0.006891334,0.001398791,0.001218833,3.48167E-4
5255,10.45739243,10.6,14.81552375,1.585031333,0.006415292,0.001111125,0.001092167,4.21583E-4
5446,10.45728282,10.6,14.57870273,1.599641416,0.007208167,0.001231083,0.001023791,3.10708E-4
5594,10.4560437,10.6,14.23286188,1.611217125,0.006682958,0.00111075,9.53917E-4,2.77333E-4
5671,10.45533129,10.6,15.26160469,1.622206166,0.006659375,0.001078458,9.55E-4,2.93666E-4
5754,10.45622033,10.6,14.99327625,1.633194125,0.006663208,0.001088833,9.6E-4,2.72666E-4
5803,10.45622033,10.6,15.04393477,1.643984458,0.006789417,0.001140875,0.001020167,3.72625E-4
6054,10.47540994,11.034,15.24633469,1.660428833,0.007052834,0.001544291,0.001246875,3.89375E-4
6135,10.47170391,10.6,14.09059562,1.672066625,0.006853375,0.001319167,0.001002834,3.67625E-4
6189,10.47170391,10.6,14.1375,1.68413125,0.007318833,0.001492459,0.0010525,4.01666E-4
6254,10.47184694,10.6,14.10470828,1.696014541,0.007156875,0.00137975,0.001071125,3.17416E-4
6290,10.47428641,11.034,15.1700625,1.707164958,0.007013042,0.001447541,0.00118275,3.13417E-4
6381,10.47056553,10.6,14.730465,1.719767833,0.006798041,0.001578917,0.001361958,4.22958E-4
6428,10.47135501,10.6,14.88744,1.73153625,0.006902084,0.001826333,0.001136125,4.32625E-4
6664,10.51021661,11.76,14.22023,1.7463435,0.0071885,0.001253292,9.66917E-4,2.9725E-4
6699,10.50650756,11.76,14.229725,1.757134291,0.007095708,0.001226125,9.63083E-4,3.64916E-4
6832,10.50570647,11.76,15.0891225,1.76944875,0.006706708,0.001067542,9.63625E-4,2.81291E-4
7028,10.51091228,11.76,14.20075063,1.783625708,0.007039542,0.001306709,9.87042E-4,3.49667E-4
7076,10.51306205,11.76,15.21761719,1.794034875,0.00675975,0.001053791,9.52666E-4,2.63541E-4
7422,10.60556879,11.76,14.06187391,1.811234041,0.007146917,0.001271208,9.92625E-4,2.86583E-4
7565,10.60754265,11.76,14.13287289,1.82394675,0.006786583,0.00116375,0.001020042,3.09666E-4
7599,10.61119266,11.76,14.12264625,1.834049416,0.006693208,0.0011535,9.76792E-4,3.08208E-4
7742,10.6058649,11.76,14.14029938,1.846982958,0.006868042,0.00121425,0.001022417,2.80375E-4
7875,10.60656952,11.76,14.352395,1.859212833,0.0070385,0.001434042,0.001003625,3.16333E-4
8125,10.60671624,11.76,15.02072977,1.87568975,0.007197375,0.001604208,0.00115575,3.605E-4
8813,10.61246479,11.76,13.97879219,1.901607833,0.006983959,0.001445334,0.001104125,4.9575E-4
8970,10.61018868,11.76,15.0704625,1.915262958,0.007056,0.001493,0.001170542,3.40917E-4
9433,10.6372602,11.76,14.21885016,1.934657416,0.00716575,0.001368791,0.001002459,3.39208E-4
10152,10.64530476,11.76,14.04825625,1.961212833,0.006973208,0.001359875,0.001112833,4.81084E-4
10243,10.64633936,11.76,14.3131875,1.975096625,0.007403666,0.002016,0.001762208,5.00875E-4
10487,10.71759828,12.12,13.7129375,1.993195791,0.007330834,0.001285125,0.002036125,7.82041E-4
10525,10.71359158,12.12,14.66574203,2.005745416,0.007207125,0.001293292,0.001860958,5.97959E-4
10800,10.74254979,12.27875,14.94842625,2.023011458,0.007680292,0.00134225,9.31709E-4,3.14875E-4
10826,10.74704804,12.27875,14.94842625,2.034300833,0.007508917,0.001418333,9.36834E-4,2.87291E-4
11440,10.81998819,12.27875,14.96328969,2.06072775,0.00757975,0.001303833,8.53667E-4,3.04083E-4
11687,10.81089622,12.36065,14.51722715,2.078044291,0.007486541,0.001285292,0.00102275,4.33625E-4
11719,10.80533271,12.36065,14.63842187,2.089182666,0.007855667,0.001206584,8.64625E-4,3.03417E-4
12048,10.81489739,12.36065,14.00978516,2.1063565,0.007412375,0.001205916,0.001145416,4.02666E-4
12056,10.81489739,12.36065,14.00978516,2.116922708,0.007529875,0.001230584,9.08291E-4,3.27584E-4
12093,10.81387224,12.36065,13.80145547,2.128449583,0.007531167,0.001226209,0.001206583,4.11708E-4
12280,10.82022546,12.34765,14.52381719,2.143007875,0.007406791,0.001221708,8.85708E-4,3.19583E-4
12407,10.82837527,12.34765,14.02817437,2.156636625,0.007821667,0.001288959,0.001244833,4.32625E-4
12629,10.8580126,12.34765,14.28176563,2.172261166,0.007394833,0.001243916,9.07334E-4,4.3225E-4
13081,10.82720444,12.34765,15.0665625,2.19435375,0.007561458,0.001390083,0.001017167,3.26708E-4
13636,10.93380574,13.1445,15.2753475,2.218223083,0.007114542,0.001165958,0.001317375,3.50042E-4
14662,11.17217704,13.1445,14.58300031,2.254500541,0.007546083,0.00127725,0.001102292,3.43792E-4
15062,11.15636593,13.1445,14.69426625,2.274659083,0.007137375,0.001133167,0.001150666,5.7275E-4
15431,11.17289259,13.1445,13.4162,2.29485475,0.007359667,0.00120825,0.001312625,4.43875E-4
15552,11.17746698,13.1445,13.86952125,2.309004041,0.007589209,0.0017015,0.001074416,3.90583E-4
15912,11.17998121,13.1445,13.93171094,2.328604208,0.007745208,0.001419791,0.0010055,2.98542E-4
16133,11.19457663,13.1445,14.63842187,2.343969375,0.007609917,0.001356209,0.0010865,4.71416E-4
17087,11.23336092,13.1445,13.95485625,2.372773625,0.007908667,0.001425625,0.001041958,3.8275E-4
17209,11.24272781,13.1445,14.94152625,2.387231125,0.008459375,0.001338625,9.13666E-4,3.03708E-4
19219,11.48122175,13.50842,13.93171094,2.450368625,0.007454291,0.001334333,0.001186417,3.67292E-4
19903,11.48394528,13.50842,14.2475,2.475213291,0.007694084,0.001109,8.91541E-4,5.715E-4
20282,11.49192558,13.50842,14.76139688,2.495806333,0.0079465,0.001478375,9.37375E-4,3.38416E-4
20738,11.49238664,13.50842,14.7610725,2.517972916,0.00799625,0.001251708,0.001075875,5.195E-4
20899,11.49399912,13.52949,14.1105,2.5329495,0.007630667,0.001302583,0.001104541,4.18333E-4
21224,11.50126056,13.52949,14.91735063,2.55189925,0.008123916,0.001431,0.001026667,4.37125E-4
22135,11.5658895,13.52949,14.99342188,2.587207291,0.007954417,0.00138675,0.001010041,3.55583E-4
22215,11.56736698,13.52949,15.02552844,2.600856375,0.008003625,0.001369167,0.001365208,4.27792E-4
23491,11.62360021,14.05671,13.89164688,2.642691541,0.007901042,0.001351167,9.86333E-4,3.21833E-4
24503,11.63797315,14.05671,14.14506469,2.686072083,0.007741208,0.001230584,9.59125E-4,3.01875E-4
24865,11.65858012,14.05671,13.93883914,2.702684291,0.007415958,0.001116917,9.14541E-4,2.53792E-4
25143,11.66363547,14.05671,14.1389607,2.717385166,0.007223375,0.001173208,9.26625E-4,2.7825E-4
25355,11.66080997,14.05671,14.12792828,2.73290725,0.007304125,0.001383667,0.001068917,5.86041E-4
26105,11.67377967,14.05671,14.7988725,2.760865833,0.007208416,0.001361584,0.001044541,4.52875E-4
26284,11.66822291,14.05671,14.98214922,2.775543833,0.007667292,0.0013255,0.001136541,3.05333E-4
26393,11.6719157,14.05671,14.58501391,2.788380375,0.007580333,0.001337292,9.61208E-4,2.93208E-4
26589,11.68061045,14.05671,14.89497297,2.8038075,0.007592542,0.001313541,0.001153291,4.88833E-4
26936,11.65269575,14.05671,15.08220375,2.822016583,0.007377208,0.001346083,0.001179167,4.17916E-4
28318,11.81865126,14.05671,14.12243063,2.863027083,0.007400666,0.001248584,9.49208E-4,2.89958E-4
29023,11.81555983,14.05671,14.8462125,2.889540958,0.0075645,0.001348958,0.001121208,4.0175E-4
29283,11.81924471,14.05671,14.8157675,2.9051815,0.007725917,0.001195709,9.7225E-4,3.78291E-4
30025,11.84610294,14.05671,15.11055,2.932076666,0.00718275,0.001212292,9.50292E-4,2.82167E-4
30539,11.96879496,14.1258,15.09170063,2.953967791,0.007532666,0.001545459,0.001113084,3.315E-4
31127,11.95070227,14.1258,14.63842187,2.977791875,0.007568916,0.00147875,0.001144667,3.23667E-4
32729,11.98193535,14.1258,14.76710375,3.018750333,0.007499041,0.001631375,0.00122575,3.59625E-4
34391,12.05587599,13.86003703,14.18024016,3.077282541,0.007852125,0.001453041,0.00130275,3.38833E-4
34524,12.05923057,13.86003703,14.22681516,3.092464416,0.008959417,0.001171916,9.75042E-4,2.66375E-4
36118,12.07818155,13.86003703,14.84396813,3.151179708,0.01067625,0.001162416,9.64625E-4,2.96125E-4
36979,12.07353245,13.86003703,14.43341,3.193002583,0.00854925,0.001598083,0.001022,3.3875E-4
39822,12.11769168,13.86003703,13.9826375,3.309574916,0.007966125,0.001435791,0.001048333,3.58E-4
41432,12.12321266,13.86003703,15.20457188,3.375309833,0.008438459,0.001317458,9.78583E-4,3.20209E-4
43732,12.32557045,14.1113925,15.01663477,3.47209675,0.009019416,0.001528542,0.001095791,3.70417E-4
48016,12.52720919,14.47730203,15.0609,3.63428575,0.009872459,0.00126125,9.52291E-4,3.6125E-4
52570,12.55709003,14.891925,15.0027,3.780693958,0.009103167,0.002100875,0.001411542,4.64458E-4
57217,12.64215384,14.991525,15.24130875,3.920799583,0.0077435,0.001780416,0.001350417,3.37667E-4
62008,12.76289018,15.10924125,14.89690188,4.087336333,0.008198084,0.001780416,0.001363834,3.39916E-4
63838,12.79892436,15.10924125,13.97045516,4.147414875,0.007995625,0.001388167,9.21416E-4,5.11708E-4
64914,12.80344318,15.10924125,14.3109998,4.181702875,0.00867575,0.00142325,0.001257334,3.51958E-4
65608,12.80560929,15.10924125,14.71321984,4.205232833,0.008082125,0.001116291,8.57167E-4,2.85792E-4
69145,12.82191313,15.10924125,14.243585,4.313422625,0.009638125,0.001434875,8.79334E-4,3.065E-4
72397,12.83786074,15.10924125,14.68912969,4.415029791,0.008829042,0.001232333,8.92167E-4,2.9E-4
78116,12.90548818,15.04358625,14.99350188,4.5453465,0.009650417,0.001194125,9.71417E-4,3.25416E-4
93225,13.31227699,14.99037813,15.14280469,4.970735166,0.00851675,0.001214041,8.75666E-4,3.09875E-4
98843,13.31041579,14.99037813,14.01307508,5.120182708,0.008554,0.001365209,9.06041E-4,2.95917E-4
100000,13.31020429,14.99037813,14.9316,5.159497708,0.008314333,0.001256334,8.58917E-4,2.97917E-4
